Question,Answer
Why did the writer mention his phone call ?,To show many people are n't nice .
"What 's the most popular activity in the "" Be - Kind - to - Animals Week "" ?",Holding a pet show in the week .
Why did the man write the letter ? Because he wanted to,thank the lady for giving him the start thirty years ago
"If you drive on a long trip in summer , you can",borrow some audio books to listen to
"Among the following descriptions about The Original Tour,_is correct .",There are not English - speaking guides on all the routes .
What can we learn from Rascal 's impressive background ?,His grandfather had won the competition seven times .
It can be inferred that,many couples are faced with problems after retirement
"If you want to work outside , you can help the Park Department to",plant many trees
"In the process of children 's learning new skills , parents",should achieve a balance between pushing them too hard and leaving them on their own
Why will the message appear in a different color1 in the second way to read the massage ?,Because baking soda reacts with grape juice .
What.is the passage mainly about ?,The history of Tin Pan Alley .
"According to the passage , listening carefully is very important because",it will make conversations go smoothly
Which of the following happened first ?,The writer got a job in another place .
We Chinese may denote money to help the country 's cyclone victims   through,Myanmar embassies in Beijing .
What does the writer want to tell us most ?,Women 's brains are better organized for language and communication .
What is the best title of the text ?,Flea market treasure finds its way home
Which would be the best title for the passage ?,How do you choose your child 's name ?
Which of the following is the best title for the passage ?,Sunshine on a Rainy Day
"If a car hits you , you should",remember the car number
Which of the following is not the possible serious outcome if air pollution is related to climate changes ?,More sunlight would reach the Earth .
"According to the passage , what leads to hypoxia ?",The brain lacks enough oxygen .
"The examples of the children , the teashop owner , the men waiting for the bus , the women and the shepherds are given to illustrate",the local people 's curiosity for the new thing
"By mentioning the Swiss study , the author intends to tell us that",natural minerals contain more precious metals
Mario 's grandpa gave him a special chair to,test who his true friends are
Professor John Beath 's lectures are,connected with the present situation
What 's the best title of the passage ?,Internet dating
What is the author 's present job ?,Looking after children at a kindergarten .
Why does a traveler need a passport ?,It helps the country to protect the people
What is the article mainly about ?,How birds sing to communicate .
Which of the following   is NOT right ?,Betty and I are in different classes
"According to the passage , we can learn that",there is no such a phone as we can use only with our eyes at present
Where did Douglas Hewitt get the Christmas tree ?,He got it from his father .
Why is Kopi Lowak expensive ?,There is a very limited supply of the beans .
Some small businesses fail to get a bank loan because,they have no clear idea of how much they need to borrow
A visitor can apply for a free audio tour,at the Admission Center
"On Saturday morning , you Can",take children to play games at the City Theatre
"He tells a man to clean the road , because he",wants to take his car out of the garage
What 's the writer 's purpose of writing this article ?,To advise us to enjoy ourselves by reading .
The cart was stopped by the policeman because,the light on the old man 's cart was not on
The main purpose of making lists is to,organize one 's work and life reasonably
People help the penguins mainly because,they live in a rather tough environment
Sophia found out about Make - A - Wish because her best friend had   ,benefited from it
Which of the following sentences is TRUE ?,The man learned a lot from Tommy 's death .
"According to the passage ,",we can not often be sure what people mean when they describe their feelings in words or gestures
How did Robert persuade the older man to accept the clothes ?,He told the older man that he had no way to send them back .
The passage mainly wants to tell us that,"the "" left gaze bias "" works on all animals"
The driving simulator project at Roosevelt High School is meant to,help students understand the dangers of distracted driving
"After the author overheard her father on the telephone ,",he consulted with her about his problem .
The best title for the passage should be,A Famous Book
What were the four men doing when the little old lady opened the door ?,They were busy working in the control room .
What made the author come back to Tennessee ?,Because his father is ill and needs caring .
Which of the following is TRUE ?,Almost nothing can escape from the gravitational pull of the black hole .
The writer of this passage seems to hold the opinion that,college fees rise too fast for poor families .
Which of the following is TRUE according to the passage ?,Mobile devices create a lot of divided attention and social anxiety .
"According to the text , most Americans",value honesty
Which of the following is NOT true ?,We can work against nature .
What can we learn from the passage ?,The findings could help people to live a healthy life .
Shi suggested in her survey that    ,children 's tuition should be reduced
Which statement is right ?,We ca n't judge    a man by his clothes .
What can be learned from The Journal of Nutrition Education and Behavior ?,Soft drinks may not to be blame for eating problems .
How can Dr. Wrangham tell which plants are medicine for chimps ?,By studying the chimps ' feeding habits .
"According to the passage , which of the following statements is TRUE ?",Trees are needed for some other things besides making gas .
"When children stopped to look at the violinist , their parents",would urge them to continue walking
"When the AIDS virus enters the blood , it is reproduced by",the genetic material of T4 lymphocytes
We can infer from the text that,food from local farms can help add to the variety in our daily meals
Which is WRONG about Sagittariaus ?,Sagittarians often tell lies .
The main difference between students in class and a theatre audience is that,the students must take part in their teachers ' plays
"According to Hugo Critchley ,",emotions are connected with states of internal responses
Some students in Morton High School thinks they have the right   to   ,choose what to wear to school
What can we know about Ma Cheng according to the passage ?,She is 26 years old now .
"If you ring "" Alive and Well "" ,",your message will be passed over to your parents
The main idea of the passage is that,American people 's health is threatened by automobiles
Why do agriculturalists think that hemp would be better for paper production than trees ?,More paper can be produced from the same area of land .
What does the passage mainly talk about ?,The link between cellphone use and brain cancer .
With which of the following may Dr. Linda Henkel agree ?,Relying on technology to remember affects the memory .
"According to the passage , which of the following statements is TRUE about Kamba and Maasai people ?",Maasai people are a threat to elephants .
"If a girl finds a helmet a little bit big for her head , what should she do ?",She can use some fit pads .
The main purpose of the passage is,to offer an explanation of the psychology of queuing
What can we learn from the passage ?,Climate change has even affected plankton negatively .
Douglas was repeatedly talking about Lincoln 's low position in life because    ,he wanted others to look down upon Lincoln .
What can we learn about MUMU Grill ?,It offers colouring - in activities to children .
"How do you understand the last sentence If she sleeps a little longer , Baby too shall fly away ?",You should get enough power and abilities before you do something .
If one suffers from Alzheimer,he has trouble with his memory
It can be inferred from the passage that people of low income,are likely to live together
Which of the following is TRUE according to the passage ?,Mr. Robinson was surprised to see the notice in the seat .
The passage is mainly about,the cause why the Red Sea is parting again
The construction of the bridge was mainly under the guide of    ,Washington
The true cause leading the couple to Shanghai was     .,the limitation of practicing t'ai chi in England
Which of the following about Aspirin is correct ?,It can be used to reduce fever and pain and prevent blood clotting .
What does the author teach us here ?,How to make a speech .
"According to the passage , Ken Levin",became the first man to walk out of the desert from Bissel Village
What is the best title of the passage ?,""" Gangnam Styly "" ---- Most people 's favorite Music"
What was the passengers ' reaction when they arrived in Norfolk ?,They were thankful and relieved .
Which of the following can be the best title for the passage ?,The Power of Mind .
"To rent an eBook online , which of the following goes last ?","press "" Rent now "" button"
Marie got a job at that court of Louis XVI because of,her gift for wax modeling
What will you do to your friends according to the passage ?,Give them encouragement and confidence .
What do we know about education from the passage ?,It helps people to achieve what they want
What do we know about the people mentioned in the passage ?,Nicole and her husband had an agreement on how to name the children .
What can we infer from the passage ?,Oswald 's voice is great comfort to Margaret .
What will be discussed following the passage ?,How to become a good listener .
Which of the following is NOT true ?,The old woman was waiting for her husband .
What is the similarity between crossroads friends and cross - generational friends ?,They both enjoy a special kind of intimacy with each other .
Night blindness can be caused by,too little beta - carotene
What happened to the writer 's sister during the trip ?,She lost her shoes .
What is this passage mainly about ?,An artist 's animal work aims to stop animal slaughter .
From this passage we know that,English is a useful language but one must work hard to learn
Why did Paul make the mistake ?,Paul did n't check with the teacher that it was the right solution .
Which of the following is TRUE ?,"The soup was "" delicious "" at dinner , because Tom was hungry ."
"If you are a dinner guest to a family in Ghana , you 're first",taken to the living - room
What is the passage mainly about ?,Celebrating life changes .
Why did n't England print its name on stamps ?,Because he wanted to tell us who invented them .
Which job probably offers the second highest salary ?,Junior chef .
Which of the following sentences is TRUE according to the passage ?,People who have used the Bow - Lingual say it helps them better understand their dogs .
Picasso moved from style to style with ease . It means,he changed his style without difficulty
What is the best title for the article ?,The Fishing Rod
The writer wanted to hide in the mountain cave probably for the reason of,boring daily routine with a feeling of lack of love
The researches made by the IOE indicate that,school model has little influence on women 's marriage
Sometimes men think that,women are not so bright as they are
"When a person in America asks "" How are you ? "" he or she wants to hear ""  ",Fine
What is the passage mainly about ?,Doubts about the worth of holding an MBA degree .
What prevents many Americans practicing better food safety in their kitchen ?,They think they are being careful enough already .
What 's the purpose of the new product ?,To limit certain drivers to safe driving .
What is the main topic of the text ?,The fake image of mantids and katydids .
The passage was intended for,general readers
What can we say about the author from the text ?,He is anxious about the misunderstanding of Frost 's idea .
It can be inferred from the passage that,"the original name of the horse race "" The Run for the Roses "" contained the word "" Kentucky """
What kind of men is least likely to get depressed when their child was born ?,Men in traditional families .
Why did the author say he was in misery ?,Because he was then disappointed in love .
Who is Robbi ?,Robbi is the name of a robot .
What can we learn from the passage ?,Imagining a relaxing scene may help .
From the passage we learn the author,has improved reading ability helped by computers
"If a mom wants to get rid of Internet addiction , she should",try to fill the empty space in life
Which of the following statement is true about the woman in the passage ?,The woman was able to defend herself .
Which of the following is the best title for this passage ?,""" Important Message "" is a Virus"
The author mainly wants to tell us,"live simply , you may be happier"
A hybrid car is a car that,uses gas and electric power alternatively
"When on board the plane ,",most passengers like to read in - flight magazines
"According to the passage , why was Tabor able to achieve great success in Leadville ?",His wise decisions helped him achieve goals .
Why can the service called Asurion help to treat nomophobia ?,It enables you to reconnect with your acquaintances .
We can infer from the passage that   ,.Yang and his group help to protect the worsened environment along the Yangtze River
What does the passage mainly talk about ?,Suggestions for a healthy lifestyle .
"According to the passage , what has science done to mankind ?","As a result of scientific invention , some things that may be harmful have been added to our food ."
What can we infer from the text ?,It 'll be hard for teens to experience the climbing .
Why is our nation being encouraged to stop wasting food ?,Because the number of food wasted by us is growing fast .
What does the passage NOT talk about ?,Making pen pals .
Which of the following is TRUE ?,The writer was taught by his mother and other teachers .
According to the passage . which of the following is NOT true ?,Green tea and Yoga can benefit cats .
The scientists study the cures from the healers in order to,find out what in the plant works to cure disease
El Nino is,a huge area of warm water
What kind of names covers the most in the top 100 boys ' names ?,Traditional royal names .
What is the main idea of this passage ?,The world needs volunteers .
We can learn from the passage that,Stroobants is probably in charge of taking care of the statue
Why do some people like weight lifting ?,Because it can make their bodies strong .
What 's the author 's purpose of writing the passage ?,To tell us about the future TitanicII .
The writer likes  ,Sichuan food
It is suggested during talking that    ,you should have the Australians bring up subjects first .
What is the main idea of this passage ?,A 400-pound gorilla bit a zoo keeper after escaping from his cage .
We normally buy food on the basis,color1 and texture
We can infer that Austin Wiershke,did n't expect he would beat Brianna Hendrickson
El - Erian resigned from PIMCO mainly because,he wanted to experience his daughter 's milestones
Which of the following statements is TRUE ?,The global recruitment mostly took place online
The article mainly talks about,Jane Austen 's last novel : Persuasion
What does the passage mainly deal with ?,Different attitudes British men have towards crying .
"According to the text , Peek",was born with a good memory
What did the author do when a yellow car drove into the parking space ?,He blamed the driver .
Which of the following is TRUE ?,Mr. Smith can speak English and French very well .
What is this passage mainly about ?,"The importance of "" felt "" images"
"As a diabetic , the author could still live normally in 1941 because",she was able to buy enough insulin
"The passage suggests that when we learn a language ,",we should know the culture of the language
Which of the following is NOT one of the benefits of the community garden ?,A method to ease urban crowdedness
It can be inferred from the passage that   ,Doubleday must have been an army officer
The passage is mainly about,the rescue of a baby elephant
Which of the following statements is NOT TRUE ?,Li realized her dream just because of her hard work .
What 's the purpose of Lucy 's letter ?,To tell Jenny she does n't want to be friends with her any longer .
"As for athletic programs , Tom thinks that",they may start early in the morning
The crow does n't say a word to the fox because,she has a big piece of meat in her mouth
The writer will agree with the opinion that   ,goals can help you get your work done
What 's the main idea of the passage ?,Allowance helps teach children early about money .
It may be inferred from this passage that,proposals of seat belts on school buses would be seriously considered
How were the celebrities surveyed in the study ?,They took the Narcissistic Personality Inventory test .
It can be concluded from the passage that newspaper readers,usually read a newspaper selectively
Who becomes beats 10-second barrier as the first Asian - born ?,Tyson Gay .
Which of the following is TRUE ?,Tom spent all the money .
Which of the following is not right from the passage ?,You ca n't use plastic bags in supermarkets any more after June 1st .
Why did n't people get into the writer 's father 's taxi ?,Because they thought the writer was a passenger .
"By mentioning the example of a girl , Winston Smith wants to",present the negative effect of student grading
"After seeing the irises sprouting , the author",decided to send flowers to her sister on Mom 's birthday
"If you leave your bike in a strange place , you should",tie it to a tree so as to prevent it from being stolen
Mr Jackson did n't leave his fiend 's house because,he thought he was at his own house
Which is the best title for the passage ?,Goals help you succeed
Why did Steve and Debbie get separated ?,They could n't get along well .
What can we learn from the studies ?,Protein helps keep muscle mass which bums calories .
"If you do n't want to go to your friend 's birthday party , you may say , ""  ",I 'm afraid I ca n't .
Habitat 67,was built for an exhibition
Which of the following is what the writer does n't say in the passage ?,People are happy when their friends leave them .
The purpose of this passage is to,call on people to participate in a Thanksgiving event
Which can be the best title of the passage ?,A Late Birthday Gift
Whose life did the Scottish farmer save ?,Sir Winston Churchill 's .
Which of the following is true according to the passage ?,The Caribbean is a place where hurricanes occur often .
Who will pay for the tea after the mediator solve some problems ?,The person who caused the problem
Which of the following students is most likely to be focused ?,A standing boy who is faced with stress
"By cloning Missy , Mark Westhusin hopes to",find out the differences between Missy and its clones
Why did Zhang Feng invite two reporters to his home ?,Because he wanted them to watch and then film him doing it .
"When you take a test in the Test Center , all of the following are forbidden EXCEPT",to eat and drink
I need some money because I,need food to eat
What does Mrs. Black have for breakfast ?,An egg and some milk .
When is this passage probably written ?,Before a Christmas .
The policeman asked the three suspects to bite the pieces of the cheese because he thought,in this way he could ask the dentist for help by comparing the bite - marks
What does the last part of the story show ?,Other children began to help keep the park clean .
"The "" Life "" survey of children 's TV habits",agrees with the U.S. Department of Education study that finds few negative effects from watching TV
Which of the following is true according to the passage ?,TIROS was successful in giving weather forecasts .
Who is the Big Draw for ?,people who would like to try drawing .
"According to the passage , the author most probably tends to tell us",drinking enough water is key to one 's health
Which of the following is NOT mentioned in the passage ?,People in the world celebrate Tomb Sweeping Day .
"The boy ate up the raw fish head only in two gulps , because he",took it as a good medicine
The passage tells us that salesmen have,found out that colors affect sales
Which of the following is true according to the passage ?,GPS and social media technology will be helpful in group buying
Many boys do poorly in school because,they have no interest in the things they 're learning
Knight sued Charles Annan because he,tried to patent her invention for himself
Why did China UnionPay carry out the experiment ?,To find out whether someone can help strangers who are in need of help .
What will Louie get if he lives without chocolate for a week ?,A new skateboard .
"According to the passage , a greenhorn means   ",a person who is new in a job
How did the writer get to know the old lady ?    ,The lady was the writer 's customer .
"In the "" homestay "" program , a visitor can",improve the language ability
Which of the following is NOT mentioned by the researchers in the passage ?,Whether poor teens can prove their findings .
What does this passage mainly talk about ?,"In the future , more people will live to 100 in the UK ."
What ' s the best title for the text ?,My trip to Balboa
According to Pollick and Waal gestures are different from facial and oral expressions in that,gestures are limited to a certain type of primates .
Which of the following methods is wrong according to the text ?,Searching online is the most effective way to look for a job .
What happened to Reagan after this encounter ?,He was allowed to take the local bus one year for free .
"What can we learn about this world , s toughest climb ?",It took the two climbers 19 days to get to the top .
Why did sales go up in Sylvan Goldman 's grocery store after he began providing shopping carts ?,Because customers were able to carry more items when shopping .
"Of the following technical problems , which is the one the scientists ca n't solve so far ?",They ca n't ensure the insects to produce their young .
It is likely that you 'll read this information in,Medicine and Healthcare Journal
The shortcoming of an owl 's fixed eyes can be made up by its,flexible neck
"In the United States , most tornadoes happen",from late winter to middle summer
We may infer from the text that the subcontractor might,get his money back
The passage tells us,how to make the complaint have a good effect
The writer wrote this passage to,tell us how to live an easier life in high school .
"When the plant sent out methyl jasmonate , which of the following statements is NOT TRUE ?",The nearby cabbage plants tried to warn the near plants .
The woman 's skin is orange because,she eats too many orange things
The map is,"blue , yellow and brown"
What do we know about Ms. Wendy ?,She is satisfied with her son 's performance at school .
The reason for Eve 's feeling sick is most probably that,she was worried about the physics exam
Educations are still arguing about,the value of different types of reading material
"Suppose you are too far away from Beijingor you ca n't spare time to go there in person , which of the following show can you enjoy all the same ?",Flower festival
What is the main idea of the passage ?,Sandstorms happened on the first day of the new year .
Why are the present trauma care systems in some states not satisfactory ?,They are short of financial support .
Which of the following can be inferred from the passage ?,The temperature was very low that evening .
"In the passage , the author seems to suggest that we should",smile at other people
"When one says "" Can you give me a hand ? "" , he means",he needs your help
The reason why the two brothers worked out the agreement was that,their family was so poor that it could n't afford the academy
Zhang Feng said that   ,he agreed to reduce or limit the number for mainland women giving birth in Hong Kong
We can learn from the passage that Jacqueline    ,gained a lot from her career as an editor
The passage is mainly about,why people travel to foreign countries
The author uses the example of mobile phones to show that .,robots will be used widely one day
"According to the text , which statement is NOT true about the boy ?",The boy was Santiago 's adopted son .
What is the finding of the Canadian researchers ?,Encouraging positive thinking many do more harm than good .
We can infer from the passage that Caroline Edmonds    ,is probably on a research team .
William does n't ' show his passport because,his information can be read by a machine
What can we infer from the passage ?,Ode to Joy is not a traditional Chinese drama because it is character - driven .
Pinto will most likely agree that,learning to use credit cards is practical
An earthquake shook San Francisco in the past because,San Francisco stands along between the Pacific Plate and the North American Plate
The main idea of the passage is,the diet and health
Why will there be a quick growth in electric bicycle production in the next five years in China ?,Because the central government encourages people to save energy .
The example of English Channel Tunnel shows,the preparation takes longer time than the construction
From the survey we can conclude most customers,"usually do as the "" no tip "" sign suggests"
A person will be admitted into Relay for Life on condition that he / she     .,pays $ 10 when registering
Twenty - four still photographs are made into a continuous moving picture just because,the image we see usually stays longer than it actually appears .
The author 's intention of writing this passage is to recommend Americans,drink more water from the tap
Which argument was put forward by the environmental groups ?,Recycling programs save money .
. Who likes biscuits ?,Tim and Mimi .
will probably provide you with articles about music and paintings .,Beauty
The passage is mainly about,How Liu Qian becameChina 's hottest magician
Why did Shu go into the mountains ?,He was being trained to be a doctor .
"As for the influence of the book ,",its character Tom inspired the blacks and other oppressed people in the world
Who must keep their home warm and safe ?,Papa monkey
"According to the ad , which of the following is TRUE ?",We can save Y=500 leaving in late August instead of late September .
What is implied in the passage by the writer ?,"If you cease to struggle , you cease to live ."
"Which of the following sentences about a "" talking handbag "" is TRUE ?",It can tell you if you forget something .
We learn from the passage that,stammerers should be understood and can contribute to the world
It can be inferred from the passage that,American Idol was started earlier than Super Girl .
How should new parents treat the sleeping charts ?,They should take it as a reference .
Which of the following would be the best title for this passage ?,Hayden Panettiere Cried in the Sea of Japan
The main purpose of the writing is to,encourage students to do more volunteer work
McCurdy is NOT the first one to,fly from Key West to Toronto
What 's the best title for the passage ?,Two Boxes
The main purpose of writing this text is to,attract more people 's attention to a hotel
What did n't Tesco do in response to the scandal ?,It investigated and found out the cause and effect of the scandal .
Why does Senator Charles Schumer propose ?,Working out regulations for social - networking sites .
What was Luo Yang famous for ?,He and his team produced the new J-15 fighter successfully .
Which might be the best title for the passage ?,"A University degree , key to success or not"
"After graduation , why did the author waste his music talent ?",He was too busy with his work .
All of the following are the results brought by Pioneer 's purchase of Norand except,some of Norand 's employees joined the Pioneer
We can learn from the passage that,US employers value their job applicants with a degree from top universities
The passage mainly tells us that,a particular way in which people made good wishes is still popular in the UK
Which of the following statements is true ?,The woman was given a lesson .
What troubles the immigrant parents most is,that they lose their position of authority in their families
Which of the following statements is NOT TRUE according to the passage ?,"Honda is showing its sedan powered by special water , which causes less pollution ."
The writer mentioned Nevado del Ruiz to prove,The importance of preparing for a volcanic eruption
"In England , education means",more than the teaching of knowledge
"What can we learn about friendship , according ?",Friends in childhood are sometimes forgotten by bus .
"Babage explained his new idea to the government officials , expecting that",they would support him with money
Where can you learn something as well as have a good time ?,Dinosaur Isle and the West of the Wight .
Why did the writer 's father listen to her quietly ? Because,"he believed that most of what his daughter 's "" enemy "" said was true ."
Which of the following is wrong according to the passage ?,You ca n't go anywhere even when you feel thirsty or hungry .
Which of the following can inspire people to gain more self - confidence ?,One of Our Clowns Is Missing .
"By giving the example of a late soccer game , the writer intends to tell us",It is no fun to be busy for the kids
The writer thinks that .,we could n't stop using mobile phones though they might be harmful in any way
"Usually , before being given a transfusion ,",a person needs to receive salt or plasma first
"In medical terms , the Internet addiction is",an official mental disorder
What music can make people happy and full of energy ?,Good music .
Jane delivered her papers,before she went to school
What is the best title for this passage ?,Learn to be a leader .
"According to the passage , which of the following is suggested as the last alternative that consumers may turn to ?",Turn to the Consumers ' Rights Protection Organization for help .
What can be the best title for this passage ?,Redefinition of American Dream
What 's the author 's attitude toward promotion ?,Getting promoted at all costs is not worthwhile
What does a superstar mean ?,"A person who is very wonderful and skilful in sports , films or music"
Which of the following statements is TRUE according to the article ?,Americans use food as part of their celebrations .
"After reading this passage , we can infer that",Baden might be one of Stephen 's family members
What is the experts ' opinion about the goat - raising business ?,You had better be cautious and patient .
What does this text mainly tell us ?,Caffeine may help better long - term memory .
Which is a reason why some readers like American English better ?,American English is more popular in international communication
What problem do the women have ?,They always forget easily .
What is the best title of the text ?,"Hacking Xbox , even a 5-year - old could do it"
Which of the following is right ?,Mrs . Green stopped her car at the red light .
The United Kingdom is mainly made up of,2 parts : the whole of Britain and Northern Ireland
The airline flies planes to cities like Paris .,"day and night , through the week"
"If you want to keep the flames of love burning , you should",make certain that the person you love is also sincere
How were Saratoga Chips invented ?,A cook made them only to play a trick on a guest .
The reason why there are many wild cats in Disneyland is that,they 're allowed to act as cleaners and guards
Which of the following is not right ?,"The more breakfast you have , the more quickly you will learn in class"
Thieves usually get the information of the credit - card,by stealing the information from Websites
The writer wrote this article to,show how proud she felt of her daughter 's kindness .
What is the best title for this passage ?,The Spirit of Lei Feng Is Everywhere .
What is the best title for this passage ?,Why US students learn Mandarin
Why did the office manager leave after directing Lillian to type a letter ?,She wanted to test Lillian
The Prime Minister died because,he fell to the ground from the horse
Which of the following desrciptions is True ?,Trafalgar Square is both a tourist attraction and a place for political demonstrations .
The passage is written mainly to tell us,exciting new science of the year of 2006 .
What problems does sport have ?,Some women athletes are given hormone injections .
What can we learn about Li Hua from his email ?,He is a student in Hong Kong
The author made the gift by,matching the words with pictures
Which sentence is RIGHT ?,We will feel tired after a long dream .
Which University has the style of pure Collegiate Gothic ?,Princeton University
"When the explosion came , it",was stronger than expected
The main purpose of the passage is to,appeal to people for food safety
hat is the text mainly about ?,World 's top 10 rivers are at risk .
Why are many people trying to cut down the use of Twitter and Face book as well as emails ?,Because they realize communication technology is disrupting family life .
What can be inferred from OKCupid 's finding ?,Do n't use perfect pictures when trying to find dates online .
Bruce did n't have a strong body until,he took up kung fu with Master Yip Man
"According to the text , which of the following statements is NOT true ?","As for sportsman , the faster they can forget a lost chance , the worse their performance will be ."
How many pieces of meat does Joe have in the fridge ?,Only one piece of meat .
"When the writer arrived at the airport , he wanted to",make a call to his friend
What can we infer from the text ?,"After spraying "" Sprayable Energy "" , you 'll get rid of tiredness ."
What do we know from the story ?,The boy was helpful .
Where will the author visit when she wants to buy some beauty products ?,www . strawberrynet.com ( US ) .
The bottle of perfume given to Ms Miller,showed Bob was grateful for Ms Miller
"The "" melting pot """,can not accurately reflect the reality in the United States
What is the text mainly about ?,The changes in a person 's accent .
What did Mrs. Smith receive   several days before Christmas ?,duck
The passage mainly talks about_in UK universities .,main reasons for Chinese students ' poor performance
Which of the following is not included in article ?,Ways of narrowing generation gap .
Which of the following is one of earthquake nerves according to the passage ?,An Arabian horse tried to escape from his enclosure .
"If you find only PS1.00 left on your Oyster card for your home journey , you",will be given one more chance to take a London bus
The Cube and the Broadway are similar in the way that both,offer homemade drinks
"According to the passage , which of the following is NOT TRUE ?",Ma Yun chose Alibaba as the name because he liked the story of Alibaba .
"According to the passage , which of the following is TRUE ?",Einstein thought people could learn from mistakes .
The author suggests that new users of Vibram FiveFingers should,begin with a shorter running distance than normal
What is the feature of a passive house ?,Its building cost is   ly high .
"When a rhotic accent occurs ,","the letter "" r "" is sounded after a vowel"
The aim of text is to,offer teenager part - time jobs in the DC Public Library
"From the passage , we can learn   ",a species tends to grow smaller when numbers decline
Why are the investors of Apple worried according to the text ?,Steve Jobs ' health condition is not stable
What can be inferred from the passage ?,"The older a woman is , the less likely she seems to lose herself in romance ."
Which of the following will the writer most probably agree with ?,Parents should praise their children but not too much .
What was the dream of the writer and Rose when young except that,They could marry a promising husband
From this passage we can know that the writer,feels that parent - teacher talks can be made much more constructive
What is implied but NOT stated by the author is that,every one should have some time to spend as he pleases
What does the story want to tell us ?,Having too many friends means no friends sometimes .
The goal of a speech at a political gathering might be,to persuade the audience to vote for a candidate
Which of the following two expressions have almost the same meaning ?,To be in hot water;To be in deep water .
Which of the following is TRUE according to the passage ?,Some girls in Sudan and Indonesia are bound to live a life without education when they are born .
Which title best gives the main idea of the passage ?,The Advantages of the Internet
What is the real reason resulting in the old man 's mental improvement ?,The pleasure of helping people in need .
What does the text mainly discuss ?,What pets bring to their owners
Man can not prevent the world from being polluted mainly because,we have more and more industry
Ding Junhui did n't feel nervous because,he regarded it as a practice match
Which of the fact is TRUE according to the passage ?,2/3 0f consumers know little about which products are greener .
Which of the following may be the title of the passage ?,Perfect Match
"In different stages of love ,",pink rose implies that your love comes to maturity .
Which of the following is TRUE according to the passage ?,The smell from humans may bring trouble to bisons .
From the passage we can infer that,Intel Corporation has fallen behind in the profitable market for smart phones
What does the writer think of the computers ?,It 's a good thing
"According to the latest research , Mona Lisa was",the wife of Florentine merchant
What can we know about Puglia ?,Its diet enjoys wide popularity .
The author wrote this passage in order to,tell us his or her own bamboo flooring brands are good
"When Doug went out the third time , the woman looked out of the window because she was",curious to know what disturbed him
Both Dan Brucker and Justin Ferate,show interest in the station
Nick Hancock 's main goal is to,challenge the previous record of living alone on Rockall
A balanced diet,is made up of foods from five food groups .
How did scientists study the cause of out - of - body experience ?,By studying changes in the brain that cause such experience .
People are afraid of the ants because,they can kill people
Marriages improve after children fly the coop not because,many couples need n't work at all
"From the old lady 's answer , we know that",the couple were using the same false teeth
What is the main purpose of the passage ?,To criticize the 10 percent theory .
A T cell is,a white blood cell
According to the author    ,children 's happiness and success are the biggest comfort to parents
Which of the following is fit for 5-year - old Rose who is interested in pet stories ?,If You Give a Dog a Donut
Sally seems to be a good manager because,she has been able to solve a few problems
Venice proudly boasts,its marvelous ancient buildings
The author refers to Venus primarily in order to,support the argument that the CO2level in the atmosphere has a significant effect on climate
"From the passage , we can learn that",disabled children can take part in the program called Blaze Sports for free
What is the use of a biscuit in taking pictures of a pet ?,To capture a cute look .
We can learn from the text that,Peter knew what to do for his future
How do you understand the last sentence of this passage ? I think it means,one must decide how to use computer
What does volunteering mean according to the passage ?,Help people by giving one 's time and energy .
All the following are what the author wants to do EXCEPT,give some money to the gentleman
Which of the following statements best explains foot pain ?,Not all of it can be avoided .
Which of the following statements is True ?,Mothers spend more time with their children than fathers .
Why do people have to live under the sea in 2050 according to the passage ?,There is no oxygen and moisture around the earth as it is destroyed .
The researchers did the study,to look into the relationship between sleep quality and inflammation
What will happen to students praised for being smart in face of choosing tasks compared to students praised for working hard ?,He will choose a less challenging task .
"According to the article , which of these steps are most important for a new skater ?",Learn to fall and stop safely .
What kind of bamboo flooring is best ?,The kind that contains no formaldehydes .
At school you should,not only get knowledge but also improve your ability
The purpose of the passage is to,explain what influences a person 's sense of humor
"According to the passage , how can we solve the problems around Lake Victoria ?",More sources of water must be found .
"According to the passage , in 2100 while output of food will be greater ,",in most developing countries people will have less food than they have today
It is implied in the passage that,we must face defeat courageously
The whole passage is about,people 's attitude toward changes and challenges
Why did Cai 's girlfriend leave him ?,She found it a shame to marry a shoe shiner .
What did Crosby say about people in the 1960s ?,They wanted to live away from their parents .
Wang Bing is,the boss of the ping - pong room
"To improve your hearing ,","read , watch , talk and listen"
Unistats is a website that works to help students,select the best university and subject
Why does music therapy help people to improve their levels of depression and anxiety ?,People can express themselves and interact without using words .
"In the years following the First World War ,",more and more honors went to Einstein
How did the waiter know you wanted food ?,"Put the "" green "" side outside ."
We can infer from the passage that,Tiger Woods ' father plays an important role on his road to success
"From the passage , we know Universal Studios is",a famous movie company
The author uses the example of J. K. Rowling to show that,sometimes failures are unavoidable on the way to success
"If you 'd like to watch a sports game , you could turn on the TV to",Channel 3 at 8:00
Gu chose such a story for his first movie because,the story had to do with his own experience
Which of the following is TRUE about the princess 's decision ?,The question of it is left open by the author .
Experiments showed that nondrinkers had,smaller amounts of good cholesterol
Which of the following sentences is TRUE ?,Copperfield also dances in his shows .
Which of the following is the best title for the passage ?,Time for Spain to turn back
Which of the following is true according to the text ?,"In history , many Scotlanders moved to North America ."
What 's the author 's purpose in encouraging the reader to imagine a sailing experience ?,To describe what Jesse 's sailing is like .
69 . What can we learn about the Golden Eagles Hotshots ?,Their work requires physical strength .
